event_id,entity_type,entity_id,action,field,old_value,new_value,actor,source_path,timestamp,semantic_validation,provenance_link
EV-90011,SalesOrder,SO-10482,create,,,,j.brennan,ui_workflow,2026-06-10T13:10:00Z,not_evaluated,
EV-90042,ShipDateChangeRequest,RSDC-0007,create,requested_ship_date,2026-08-15,2026-08-29,j.brennan,ui_workflow,2026-07-22T14:05:00Z,not_evaluated,EMAIL-3391
EV-90043,SalesOrder,SO-10482,update,requested_ship_date,2026-08-15,2026-08-29,j.brennan,ui_workflow,2026-07-22T14:06:11Z,not_evaluated,RSDC-0007
EV-90044,SalesOrder,SO-10482,update,expected_ship_date,2026-08-15,2026-08-29,svc_scheduler,api_integration,2026-07-22T14:07:40Z,not_evaluated,
EV-90051,ReceivingEvent,RCV-0091,create,,,,svc_receiving,api_integration,2026-07-30T06:02:00Z,not_evaluated,PO-8842
EV-90052,QualityInspection,QI-0044,create,result,,Pass,s.novak,ui_workflow,2026-07-31T10:20:00Z,not_evaluated,LOT-77Z
EV-90061,SalesOrder,SO-10482,update,actual_ship_date,,2026-08-28,svc_shipping,api_integration,2026-08-28T17:45:00Z,not_evaluated,
EV-90062,FinanceReport,FMR-10482,compute,on_time_delivery,,TRUE,fin_analyst,reporting_view,2026-08-31T02:00:00Z,not_evaluated,
EV-90070,SalesOrder,SO-10520,update,promise_date,2026-09-10,2026-09-05,agent_delivery_optimizer,api_integration,2026-07-29T08:44:00Z,not_evaluated,
EV-90071,SalesOrder,SO-10471,update,expected_ship_date,2026-08-12,2026-08-20,svc_scheduler,bulk_import,2026-07-27T02:15:10Z,not_evaluated,
EV-90072,Supplier,SA-04,reference,supplier_name,,Acme Industrial,svc_receiving,api_integration,2026-07-30T06:02:00Z,not_evaluated,
EV-90080,SalesOrder,SO-10490,update,expected_ship_date,2026-08-21,2026-08-27,svc_scheduler,api_integration,2026-07-25T11:12:05Z,not_evaluated,
