snapshot_id,part_number,warehouse,lot_id,qty_on_hand,qty_allocated,supplier_ref,unit_cost,as_of
INV-0001,440-ZINC-BOLT,WH-1,LOT-77Z,18000,12000,Acme Industrial,4.10,2026-08-01
INV-0002,BOLT-440-ZN,WH-1,LOT-71Z,4000,0,ACME Fastener Co.,4.05,2026-08-01
INV-0003,BOLT440ZN,WH-2,LOT-77Z,6000,0,Acme Industrial,4.10,2026-08-01
INV-0004,WASHER-440-SS,WH-1,LOT-55W,40000,12000,Delta Fastening,0.62,2026-08-01
INV-0005,BRKT-AL-221,WH-3,LOT-22B,1200,300,Ironwood Castings,26.00,2026-08-01
INV-0006,BRKT AL 221,WH-3,LOT-22B,1200,300,Ironwood Castings,26.00,2026-08-01
INV-0007,SEAL-NBR-06,WH-1,LOT-33S,22000,7600,Precision Seals,1.05,2026-08-01
INV-0008,SHAFT-TI-905,WH-4,LOT-90T,260,120,Titan Metals,182.00,2026-08-01
INV-0009,GEAR-17T-CS,WH-3,LOT-17G,1400,640,Blue Ridge Gear Works,38.00,2026-08-01
INV-0010,ZN BOLT 440,WH-2,LOT-77Z,6000,0,ACME,4.10,2026-08-01
